English,Hindi
part,हिस्सा
history,इतिहास
search,खोज करना
only,केवल
police,पुलिस
thought,सोचा
help,मदद
request,अनुरोध
kind,प्रकार
month,महीना
brother,भाई
let,जाने देना
because,क्योंकि
to put,रखना
no,कोई नहीं
leash,पट्टा
them,उन्हें
city,शहर
each,प्रत्येक
speak,बोला / बोलता है
come,आया
should,चाहिए
baby,बच्चा
long time,लंबा समय
hours,घंटे
will,जाएंगे / होगा
while,के दौरान
meet again,फिर मिलना
any,कोई नहीं / कोई
square/place,स्थान / चौराहा
understood,समझा
knew,जानता था
were,थे
Warning,सावधान!
here is,ये रहा
could,सकता है
case,मामला
give,देना
type,प्रकार
their,उनका
given,दिया गया
train,ट्रेन
body,शरीर
place,स्थान
eyes,आंखें
way,तरीका
listen,सुनो
whose,जिसका
find,ढूंढना
first,पहला / पहली
lost,खो गया
hand,हाथ
side,पक्ष / ओर
power,शक्ति
old,बूढ़ा / पुराना
be,बनो
here,लो
morning,सुबह
so much,इतना ज्यादा
child,बच्चा
point,बिंदु
came,आया
after,बाद
sorry,माफ़ कीजिए
come,आइए
in front of,के सामने
towards,की ओर
minutes,मिनट
bedroom,शयनकक्ष / कमरा
placed,रखा गया
beautiful,सुंदर
law,कानून
would like to,चाहूंगा / चाहती हूं
today,आज
husband,पति
cause,कारण
finally,अंततः
hope,आशा करता हूँ / करती हूं
water,पानी
wait,प्रतीक्षा कीजिए
left,चला गया
new,नया
job,नौकरी
Stop,रोकना
would say,कहेगा / कहेगी
Earth,पृथ्वी
account,खाता
far,दूर
end,अंत
believe,विश्वास करना
sweetheart,जानू / प्रिय
large,बड़ा
rather,बल्कि
will have,होगा
girls,लड़कियाँ
to play,खेलना
office,कार्यालय
